======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
       79    0.08  83.89  [97] android/content/pm/ActivityInfo.<init> (Landroid/os/Parcel;)V
       78    0.07  83.97  [141] android/widget/RelativeLayout.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       77    0.07  84.04  [462] android/graphics/drawable/NinePatchDrawable.getPadding (Landroid/graphics/Rect;)Z
       77    0.07  84.11  [518] android/view/View.getContext ()Landroid/content/Context;
       76    0.07  84.18  [272] android/widget/ImageView.setVisibility (I)V
       76    0.07  84.26  [277] java/util/regex/Splitter.fastSplit (Ljava/lang/String;Ljava/lang/String;I)[Ljava/lang/String;
       75    0.07  84.33  [45] android/graphics/drawable/StateListDrawable.<init> (Landroid/graphics/drawable/StateListDrawable$StateListState;Landroid/content/res/Resources;)V
       75    0.07  84.40  [264] android/os/Parcel.writeInterfaceToken (Ljava/lang/String;)V
       75    0.07  84.47  [247] android/view/accessibility/IAccessibilityManager$Stub$Proxy.addClient (Landroid/view/accessibility/IAccessibilityManagerClient;)I
       74    0.07  84.54  [63] android/content/res/Resources.loadXmlResourceParser (ILjava/lang/String;)Landroid/content/res/XmlResourceParser;
       74    0.07  84.61  [522] android/graphics/Paint.setTextScaleX (F)V
       74    0.07  84.68  [223] android/sec/enterprise/IEDMProxy$Stub$Proxy.getApplicationIconFromDb (Ljava/lang/String;)[B
       74    0.07  84.75  [450] android/view/View.dispatchVisibilityChanged (Landroid/view/View;I)V
       74    0.07  84.82  [476] java/lang/AbstractStringBuilder.enlargeBuffer (I)V
       74    0.07  84.89  [472] java/util/AbstractList.<init> ()V
       73    0.07  84.96  [480] android/view/Window.setFlags (II)V
       73    0.07  85.03  [74] com/android/internal/widget/ActionBarContextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
       73    0.07  85.10  [525] java/lang/Class.isAssignableFrom (Ljava/lang/Class;)Z
       72    0.07  85.17  [526] android/os/Parcel.nativeWriteStrongBinder (ILandroid/os/IBinder;)V
       72    0.07  85.24  [527] android/view/View.getVisibility ()I
       72    0.07  85.31  [263] android/widget/ImageView.setImageDrawable (Landroid/graphics/drawable/Drawable;)V
       72    0.07  85.38  [387] java/util/regex/Splitter.finishSplit (Ljava/util/List;Ljava/lang/String;III)[Ljava/lang/String;
       71    0.07  85.44  [463] android/content/res/XmlBlock.access$1500 (I)V
       71    0.07  85.51  [530] com/android/internal/view/menu/ActionMenuItem.setTitle (Ljava/lang/CharSequence;)Landroid/view/MenuItem;
       70    0.07  85.58  [376] android/os/Parcel.writeString (Ljava/lang/String;)V
       70    0.07  85.64  [508] android/text/method/SingleLineTransformationMethod.getInstance ()Landroid/text/method/SingleLineTransformationMethod;
       70    0.07  85.71  [492] java/lang/AbstractStringBuilder.toString ()Ljava/lang/String;
       69    0.07  85.78  [258] android/net/Uri$AbstractPart.getDecoded ()Ljava/lang/String;
       69    0.07  85.84  [510] android/widget/TextView.setTypeface (Landroid/graphics/Typeface;)V
       68    0.06  85.91  [382] android/os/Parcel.readExceptionCode ()I
       68    0.06  85.97  [415] android/view/View.setFocusable (Z)V
       68    0.06  86.04  [322] android/widget/TextView.setPadding (IIII)V
       68    0.06  86.10  [466] java/util/HashMap.doubleCapacity ()[Ljava/util/HashMap$HashMapEntry;
       67    0.06  86.17  [83] android/content/pm/ComponentInfo.<init> (Landroid/os/Parcel;)V
       67    0.06  86.23  [333] android/content/res/XmlBlock.newParser ()Landroid/content/res/XmlResourceParser;
       67    0.06  86.29  [507] android/text/TextUtils.stringOrSpannedString (Ljava/lang/CharSequence;)Ljava/lang/CharSequence;
       66    0.06  86.36  [87] android/content/res/Resources.loadXmlResourceParser (Ljava/lang/String;IILjava/lang/String;)Landroid/content/res/XmlResourceParser;
       66    0.06  86.42  [535] android/graphics/Paint.getTextSize ()F
       66    0.06  86.48  [349] android/os/Parcel.readException ()V
       66    0.06  86.54  [21] android/widget/TextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       66    0.06  86.61  [357] android/widget/TextView.setTypeface (Landroid/graphics/Typeface;I)V
       65    0.06  86.67  [536] android/app/ContextImpl.getContentResolver ()Landroid/content/ContentResolver;
       65    0.06  86.73  [208] android/graphics/drawable/ColorDrawable.<init> (Landroid/graphics/drawable/ColorDrawable$ColorState;)V
       65    0.06  86.79  [242] android/graphics/drawable/DrawableContainer.getOpacity ()I
       65    0.06  86.85  [464] android/view/View.notifyAccessibilityStateChanged ()V
       65    0.06  86.92  [79] android/widget/LinearLayout.generateLayoutParams (Landroid/util/AttributeSet;)Landroid/view/ViewGroup$LayoutParams;
       64    0.06  86.98  [361] android/graphics/drawable/DrawableContainer$DrawableContainerState.getConstantPadding ()Landroid/graphics/Rect;
       64    0.06  87.04  [133] java/lang/ClassLoader.loadClass (Ljava/lang/String;)Ljava/lang/Class;
       63    0.06  87.10  [542] android/app/Activity.onCreateView (Ljava/lang/String;Landroid/content/Context;Landroid/util/AttributeSet;)Landroid/view/View;
       63    0.06  87.16  [420] android/content/ContextWrapper.getClassLoader ()Ljava/lang/ClassLoader;
       63    0.06  87.22  [544] android/view/View.updateUserPaddingRelative ()V
       63    0.06  87.28  [186] android/widget/TextView$IClipboardDataPasteEventImpl.<init> (Landroid/widget/TextView;)V
       63    0.06  87.34  [169] java/lang/BootClassLoader.loadClass (Ljava/lang/String;Z)Ljava/lang/Class;
       62    0.06  87.40  [545] android/content/pm/ApplicationInfo.hasRtlSupport ()Z
       62    0.06  87.46  [532] android/content/res/TypedArray.getFloat (IF)F
       62    0.06  87.51  [351] android/graphics/drawable/DrawableContainer.setVisible (ZZ)Z
       62    0.06  87.57  [31] com/android/internal/policy/impl/PhoneWindow.generateDecor ()Lcom/android/internal/policy/impl/PhoneWindow$DecorView;
       62    0.06  87.63  [547] java/util/Arrays.equals ([I[I)Z
       61    0.06  87.69  [364] android/content/res/AssetManager.getThemeValue (IILandroid/util/TypedValue;Z)Z
       61    0.06  87.75  [204] android/view/accessibility/AccessibilityManager.<init> (Landroid/content/Context;Landroid/view/accessibility/IAccessibilityManager;)V
       61    0.06  87.81  [46] android/widget/LinearLayout.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       60    0.06  87.86  [549] android/view/ViewConfiguration.getScaledTouchSlop ()I
       60    0.06  87.92  [78] android/view/ViewGroup.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       59    0.06  87.98  [552] android/os/Binder.init ()V
       59    0.06  88.03  [553] android/view/View.onResolvedLayoutDirectionChanged ()V
       59    0.06  88.09  [441] java/lang/Class.asSubclass (Ljava/lang/Class;)Ljava/lang/Class;
       58    0.06  88.14  [383] android/view/View.setImportantForAccessibility (I)V
       58    0.06  88.20  [506] android/view/ViewGroup.hasTransientState ()Z
       57    0.05  88.25  [276] android/view/ViewRootImpl.getRunQueue ()Landroid/view/ViewRootImpl$RunQueue;
       57    0.05  88.31  [119] android/widget/TextView.setText (Ljava/lang/CharSequence;Landroid/widget/TextView$BufferType;)V
       57    0.05  88.36  [90] com/android/internal/app/ActionBarImpl.<init> (Landroid/app/Activity;)V
       56    0.05  88.42  [502] android/app/ContextImpl.getClassLoader ()Ljava/lang/ClassLoader;
       56    0.05  88.47  [411] android/content/res/XmlBlock$Parser.<init> (Landroid/content/res/XmlBlock;ILandroid/content/res/XmlBlock;)V
       56    0.05  88.52  [557] android/graphics/drawable/Drawable$ConstantState.<init> ()V
       56    0.05  88.58  [288] android/os/Parcel.readBundle (Ljava/lang/ClassLoader;)Landroid/os/Bundle;
       56    0.05  88.63  [560] android/view/View.getParent ()Landroid/view/ViewParent;
       56    0.05  88.68  [222] android/view/View.setVisibility (I)V
       56    0.05  88.74  [561] android/view/ViewGroup.setDescendantFocusability (I)V
       56    0.05  88.79  [187] android/view/Window.findViewById (I)Landroid/view/View;
       56    0.05  88.84  [134] android/widget/TextView.applySingleLine (ZZZ)V
       55    0.05  88.89  [414] android/os/BinderProxy.<init> ()V
       55    0.05  88.95  [216] android/os/ServiceManagerProxy.getService (Ljava/lang/String;)Landroid/os/IBinder;
       54    0.05  89.00  [0] (toplevel)
       54    0.05  89.05  [35] android/view/ViewGroup.<init> (Landroid/content/Context;)V
       54    0.05  89.10  [338] com/android/internal/widget/ActionBarView$HomeView.onFinishInflate ()V
       54    0.05  89.15  [509] java/lang/reflect/Constructor.getModifiers ()I
       54    0.05  89.20  [534] java/util/ArrayList.add (Ljava/lang/Object;)Z
       53    0.05  89.25  [360] android/content/res/XmlBlock$Parser.close ()V
       53    0.05  89.31  [255] android/graphics/drawable/StateListDrawable$StateListState.access$000 (Landroid/graphics/drawable/StateListDrawable$StateListState;[I)I
       53    0.05  89.36  [566] android/view/View.hasTransientState ()Z
       53    0.05  89.41  [435] android/view/View.setClickable (Z)V
       53    0.05  89.46  [416] android/widget/TextView.setRawTextSize (F)V
       53    0.05  89.51  [568] com/sec/android/app/CscFeature.getInstance ()Lcom/sec/android/app/CscFeature;
       52    0.05  89.56  [197] android/graphics/Typeface.SetFlipFonts ()V
       52    0.05  89.61  [569] android/view/View.isPaddingRelative ()Z
       52    0.05  89.66  [570] android/view/View.onPaddingChanged (I)V
       51    0.05  89.70  [537] android/content/ContentProviderNative.asInterface (Landroid/os/IBinder;)Landroid/content/IContentProvider;
       51    0.05  89.75  [571] android/graphics/Paint.native_setTypeface (II)I
       51    0.05  89.80  [523] android/graphics/drawable/Drawable.getResolvedLayoutDirectionSelf ()I
       51    0.05  89.85  [413] android/text/TextUtils$1.createFromParcel (Landroid/os/Parcel;)Ljava/lang/CharSequence;
       51    0.05  89.90  [573] android/view/ViewGroup$LayoutParams.<init> ()V
       50    0.05  89.95  [313] android/content/res/Resources$Theme.obtainStyledAttributes (I[I)Landroid/content/res/TypedArray;
       50    0.05  89.99  [397] android/os/Binder.<init> ()V
       50    0.05  90.04  [574] android/view/View.onFinishInflate ()V
       50    0.05  90.09  [575] android/view/ViewGroup.onViewAdded (Landroid/view/View;)V
       50    0.05  90.14  [482] java/util/ArrayList.<init> (I)V
       49    0.05  90.18  [185] android/content/pm/ProviderInfo.<init> (Landroid/os/Parcel;)V
       49    0.05  90.23  [577] android/widget/TextView.getKeyListener ()Landroid/text/method/KeyListener;
       49    0.05  90.28  [228] com/android/internal/policy/impl/PhoneWindow$DecorView.setWindowBackground (Landroid/graphics/drawable/Drawable;)V
       49    0.05  90.32  [428] java/lang/StringBuilder.toString ()Ljava/lang/String;
       48    0.05  90.37  [461] android/graphics/Bitmap.<init> (I[BZ[B[II)V
       48    0.05  90.41  [578] android/graphics/Rect.set (Landroid/graphics/Rect;)V
       48    0.05  90.46  [515] android/os/Parcel.writeInt (I)V
       48    0.05  90.51  [69] android/view/View.setBackground (Landroid/graphics/drawable/Drawable;)V
       47    0.04  90.55  [330] android/view/ViewGroup.onCreateDrawableState (I)[I
       47    0.04  90.59  [348] android/widget/ImageView.initImageView ()V
       47    0.04  90.64  [584] java/util/HashMap.makeTable (I)[Ljava/util/HashMap$HashMapEntry;
       47    0.04  90.68  [585] java/util/HashMap$HashMapEntry.<init> (Ljava/lang/Object;Ljava/lang/Object;ILjava/util/HashMap$HashMapEntry;)V
       46    0.04  90.73  [96] android/widget/FrameLayout.generateLayoutParams (Landroid/util/AttributeSet;)Landroid/view/ViewGroup$LayoutParams;
       46    0.04  90.77  [481] java/util/ArrayList.<init> ()V
       46    0.04  90.82  [587] java/util/Locale.equals (Ljava/lang/Object;)Z
       45    0.04  90.86  [590] android/content/res/XmlBlock.nativeDestroyParseState (I)V
       45    0.04  90.90  [51] android/widget/ImageView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       45    0.04  90.94  [592] java/lang/VMThread.currentThread ()Ljava/lang/Thread;
       44    0.04  90.99  [171] android/app/Activity.onCreate (Landroid/os/Bundle;)V
       44    0.04  91.03  [261] android/content/res/AssetManager.openNonAsset (ILjava/lang/String;I)Ljava/io/InputStream;
       44    0.04  91.07  [385] android/graphics/drawable/BitmapDrawable.computeBitmapSize ()V
       44    0.04  91.11  [98] android/graphics/drawable/TransitionDrawable$TransitionState.newDrawable (Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;
       44    0.04  91.15  [505] android/os/SystemProperties.get (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;
       44    0.04  91.20  [151] android/widget/TextView.setTransformationMethod (Landroid/text/method/TransformationMethod;)V
       44    0.04  91.24  [593] java/lang/reflect/AccessibleObject.<init> ()V
       43    0.04  91.28  [594] android/content/res/XmlBlock.nativeGetAttributeIndex (ILjava/lang/String;Ljava/lang/String;)I
       43    0.04  91.32  [595] android/graphics/drawable/LayerDrawable.ensurePadding ()V
       43    0.04  91.36  [433] com/android/internal/policy/impl/PhoneWindow$DecorView.drawableChanged ()V
       43    0.04  91.40  [517] java/lang/StringBuilder.<init> ()V
       43    0.04  91.44  [596] java/util/AbstractCollection.<init> ()V
       42    0.04  91.48  [439] android/content/res/Resources.getCachedColorStateList (J)Landroid/content/res/ColorStateList;
       42    0.04  91.52  [548] android/content/res/TypedArray.getValue (ILandroid/util/TypedValue;)Z
       42    0.04  91.56  [326] android/graphics/drawable/BitmapDrawable.setBitmap (Landroid/graphics/Bitmap;)V
       42    0.04  91.60  [323] android/graphics/drawable/DrawableContainer.getPadding (Landroid/graphics/Rect;)Z
       42    0.04  91.64  [270] android/os/Parcel.readBundle ()Landroid/os/Bundle;
       42    0.04  91.68  [543] android/view/View.clearAccessibilityFocus ()V
       42    0.04  91.72  [334] android/view/View.setOnClickListener (Landroid/view/View$OnClickListener;)V
       42    0.04  91.76  [599] android/view/ViewGroup.hasFocus ()Z
       42    0.04  91.80  [600] android/widget/TextView.removeIntersectingSpans (IILjava/lang/Class;)V
       42    0.04  91.84  [601] java/util/HashMap.secondaryHash (I)I
       41    0.04  91.88  [305] android/content/res/Resources.getDimensionPixelSize (I)I
       41    0.04  91.92  [603] android/view/View.getImportantForAccessibility ()I
       41    0.04  91.96  [604] android/view/ViewGroup$3.<init> (Landroid/view/ViewGroup;)V
       41    0.04  92.00  [390] java/util/Locale.toString ()Ljava/lang/String;
       40    0.04  92.04  [337] android/content/res/Resources$Theme.resolveAttribute (ILandroid/util/TypedValue;Z)Z
       40    0.04  92.07  [607] android/graphics/drawable/DrawableContainer$DrawableContainerState.getChildCount ()I
       40    0.04  92.11  [377] android/text/TextUtils$1.createFromParcel (Landroid/os/Parcel;)Ljava/lang/Object;
       40    0.04  92.15  [608] android/util/TypedValue.<init> ()V
       40    0.04  92.19  [257] android/view/View.setEnabled (Z)V
       39    0.04  92.23  [529] android/graphics/Bitmap.getScaledHeight (I)I
       39    0.04  92.26  [524] android/graphics/Bitmap.getScaledWidth (I)I
       39    0.04  92.30  [117] android/graphics/drawable/TransitionDrawable.createConstantState (Landroid/graphics/drawable/LayerDrawable$LayerState;Landroid/content/res/Resources;)Landroid/graphics/drawable/LayerDrawable$LayerState;
       39    0.04  92.34  [454] android/view/View.setContentDescription (Ljava/lang/CharSequence;)V
       39    0.04  92.37  [612] android/view/ViewGroup.debugDraw ()Z
       39    0.04  92.41  [613] java/util/Locale.getDefault ()Ljava/util/Locale;
       38    0.04  92.45  [616] android/os/SystemProperties.native_get (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;
       38    0.04  92.48  [24] android/widget/FrameLayout.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
       37    0.04  92.52  [618] android/graphics/Paint.setFakeBoldText (Z)V
       37    0.04  92.55  [576] android/graphics/drawable/Drawable.getBounds ()Landroid/graphics/Rect;
       36    0.03  92.59  [153] android/app/IActivityManager$ContentProviderHolder.<init> (Landroid/os/Parcel;)V
