======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
      107    0.10  79.35  [477] android/content/res/XmlBlock$Parser.getDepth ()I
      107    0.10  79.45  [424] android/graphics/drawable/BitmapDrawable.getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
      107    0.10  79.55  [402] android/graphics/drawable/LayerDrawable.getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
      107    0.10  79.66  [256] android/graphics/drawable/NinePatchDrawable.getOpacity ()I
      106    0.10  79.76  [150] android/graphics/drawable/StateListDrawable.onStateChange ([I)Z
      106    0.10  79.86  [479] android/view/ViewGroup$MarginLayoutParams.onResolveLayoutDirection (I)V
      104    0.10  79.96  [49] android/graphics/BitmapFactory.decodeStream (Ljava/io/InputStream;Landroid/graphics/Rect;Landroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;
      103    0.10  80.05  [136] java/lang/ClassLoader.loadClass (Ljava/lang/String;Z)Ljava/lang/Class;
      102    0.10  80.15  [295] android/graphics/NinePatch.hasAlpha ()Z
      102    0.10  80.25  [297] android/graphics/drawable/Drawable.invalidateSelf ()V
      102    0.10  80.35  [138] android/widget/TextView.setTextAppearance (Landroid/content/Context;I)V
      102    0.10  80.44  [17] com/android/internal/widget/ActionBarView.initTitle ()V
      102    0.10  80.54  [483] java/lang/String.toString ()Ljava/lang/String;
       99    0.09  80.63  [386] android/os/Parcel.obtain ()Landroid/os/Parcel;
       99    0.09  80.73  [60] android/view/ViewGroup.addView (Landroid/view/View;Landroid/view/ViewGroup$LayoutParams;)V
       99    0.09  80.82  [99] android/widget/FrameLayout.generateLayoutParams (Landroid/util/AttributeSet;)Landroid/widget/FrameLayout$LayoutParams;
       98    0.09  80.92  [286] android/graphics/drawable/Drawable.setVisible (ZZ)Z
       97    0.09  81.01  [352] android/text/TextUtils.indexOf (Ljava/lang/CharSequence;CI)I
       97    0.09  81.10  [346] android/widget/ImageView.updateDrawable (Landroid/graphics/drawable/Drawable;)V
       95    0.09  81.19  [108] android/graphics/drawable/LayerDrawable.<init> (Landroid/graphics/drawable/LayerDrawable$LayerState;Landroid/content/res/Resources;)V
       94    0.09  81.28  [139] java/lang/Class.getConstructor ([Ljava/lang/Class;)Ljava/lang/reflect/Constructor;
       94    0.09  81.37  [438] java/util/Hashtable.get (Ljava/lang/Object;)Ljava/lang/Object;
       93    0.09  81.46  [467] android/graphics/drawable/Drawable.getCallback ()Landroid/graphics/drawable/Drawable$Callback;
       93    0.09  81.55  [266] android/graphics/drawable/DrawableContainer$DrawableContainerState.getOpacity ()I
       91    0.09  81.63  [494] android/content/res/StringBlock.nativeGetStyle (II)[I
       90    0.09  81.72  [460] java/lang/reflect/Constructor.<init> (Ljava/lang/Class;[Ljava/lang/Class;[Ljava/lang/Class;I)V
       89    0.08  81.80  [106] android/content/res/Resources.getValue (ILandroid/util/TypedValue;Z)V
       89    0.08  81.89  [497] android/view/ViewGroup.addInArray (Landroid/view/View;I)V
       89    0.08  81.97  [170] com/android/internal/widget/ActionBarView.generateLayoutParams (Landroid/util/AttributeSet;)Landroid/view/ViewGroup$LayoutParams;
       88    0.08  82.06  [62] android/content/res/Resources.getLayout (I)Landroid/content/res/XmlResourceParser;
       88    0.08  82.14  [356] com/sec/android/app/CscFeature.getEnableStatus (Ljava/lang/String;)Z
       88    0.08  82.22  [501] java/lang/BootClassLoader.getInstance ()Ljava/lang/BootClassLoader;
       87    0.08  82.31  [503] android/content/res/AssetManager.isUpToDate ()Z
       87    0.08  82.39  [189] android/widget/TextView.setTextColor (Landroid/content/res/ColorStateList;)V
       86    0.08  82.47  [504] android/content/res/AssetManager.destroyAsset (I)V
       86    0.08  82.55  [443] java/lang/Thread.currentThread ()Ljava/lang/Thread;
       85    0.08  82.64  [312] android/content/res/XmlBlock.<init> (Landroid/content/res/AssetManager;I)V
       85    0.08  82.72  [198] android/view/animation/Transformation.<init> ()V
       85    0.08  82.80  [177] java/lang/Class.classForName (Ljava/lang/String;ZLjava/lang/ClassLoader;)Ljava/lang/Class;
       84    0.08  82.88  [274] android/app/ActivityThread.installProviderAuthoritiesLocked (Landroid/content/IContentProvider;Landroid/content/ContentProvider;Landroid/app/IActivityManager$ContentProviderHolder;)Landroid/app/ActivityThread$ProviderClientRecord;
       84    0.08  82.96  [14] android/view/LayoutInflater.onCreateView (Landroid/view/View;Ljava/lang/String;Landroid/util/AttributeSet;)Landroid/view/View;
       84    0.08  83.04  [458] java/lang/String.indexOf (II)I
       83    0.08  83.12  [41] android/graphics/drawable/Drawable.createFromResourceStream (Landroid/content/res/Resources;Landroid/util/TypedValue;Ljava/io/InputStream;Ljava/lang/String;Landroid/graphics/BitmapFactory$Options;)Landroid/graphics/drawable/Drawable;
       83    0.08  83.19  [310] android/text/TextUtils.indexOf (Ljava/lang/CharSequence;C)I
       83    0.08  83.27  [511] java/lang/ThreadLocal$Values.next (I)I
       82    0.08  83.35  [512] android/content/res/XmlBlock.nativeGetName (I)I
       82    0.08  83.43  [43] android/graphics/drawable/StateListDrawable$StateListState.newDrawable (Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;
       82    0.08  83.51  [513] android/view/InputEventConsistencyVerifier.isInstrumentationEnabled ()Z
       82    0.08  83.59  [182] android/view/ViewConfiguration.<init> (Landroid/content/Context;)V
       81    0.08  83.66  [113] android/app/ActivityManagerProxy.getContentProvider (Landroid/app/IApplicationThread;Ljava/lang/String;Z)Landroid/app/IActivityManager$ContentProviderHolder;
       81    0.08  83.74  [265] android/graphics/drawable/BitmapDrawable.<init> (Landroid/graphics/drawable/BitmapDrawable$BitmapState;Landroid/content/res/Resources;)V
       80    0.08  83.82  [455] android/widget/TextView.sendBeforeTextChanged (Ljava/lang/CharSequence;III)V
